Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
IDXX,"IDEXX LABORATORIES, INC. (XNAS:IDXX)",1.280000%,10.210000%,1.370000%,-33.750000%,22.020000%,-33.750000%,131.390000%,-40.050000%
IEX,IDEX CORPORATION (XNYS:IEX),0.050000%,6.890000%,0.460000%,-16.440000%,15.390000%,-16.440000%,-42.240000%,5.310000%
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),-0.510000%,8.470000%,0.620000%,-20.480000%,15.060000%,-20.480000%,-22.400000%,-33.630000%
INCY,INCYTE CORPORATION (XNAS:INCY),0.660000%,9.270000%,-0.650000%,-14.220000%,26.720000%,-14.220000%,21.820000%,72.510000%
INTC,INTEL CORPORATION (XNAS:INTC),1.890000%,14.100000%,0.840000%,-37.720000%,53.700000%,-37.720000%,284.450000%,41.140000%
INTU,INTUIT INC. (XNAS:INTU),1.250000%,8.490000%,1.070000%,-18.230000%,23.020000%,-18.230000%,16.200000%,18.920000%
INVH,INVITATION HOMES INC. (XNYS:INVH),0.270000%,5.870000%,0.380000%,-11.870000%,13.900000%,-11.870000%,-39.460000%,24.260000%
IP,INTERNATIONAL PAPER COMPANY (XNYS:IP),0.640000%,9.750000%,-0.450000%,-25.620000%,28.530000%,-25.620000%,124.810000%,47.150000%
IQV,IQVIA HOLDINGS INC (XNYS:IQV),1.090000%,8.940000%,1.040000%,-22.290000%,17.380000%,-22.290000%,-37.770000%,-32.490000%
IR,INGERSOLL RAND INC. (XNYS:IR),1.310000%,8.480000%,2.200000%,-15.950000%,22.330000%,-15.950000%,-38.710000%,12.170000%
IRM,IRON MOUNTAIN INCORPORATED (XNYS:IRM),2.440000%,8.780000%,5.140000%,-18.980000%,16.180000%,-18.980000%,-54.910000%,-48.980000%
ISRG,"INTUITIVE SURGICAL, INC. (XNAS:ISRG)",2.170000%,10.110000%,1.730000%,-26.410000%,27.920000%,-26.410000%,98.550000%,-4.980000%
IT,"GARTNER, INC. (XNYS:IT)",1.180000%,10.120000%,0.660000%,-36.250000%,22.800000%,-36.250000%,226.310000%,-51.710000%
ITW,ILLINOIS TOOL WORKS INC. (XNYS:ITW),0.720000%,6.260000%,-0.390000%,-4.260000%,19.100000%,-9.440000%,21.300000%,63.930000%
IVZ,INVESCO LTD (XNYS:IVZ),2.230000%,11.550000%,1.600000%,-20.810000%,37.100000%,-20.810000%,27.620000%,37.040000%
J,JACOBS SOLUTIONS INC. (XNYS:J),1.140000%,6.660000%,0.820000%,-14.950000%,17.690000%,-14.950000%,53.240000%,11.270000%
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC. (XNAS:JBHT)",1.000000%,8.970000%,1.050000%,-16.830000%,21.420000%,-16.830000%,-32.420000%,25.090000%
JBL,JABIL INC. (XNYS:JBL),5.160000%,10.100000%,4.180000%,-14.400000%,27.380000%,-14.400000%,-54.510000%,26.260000%
JCI,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY (XNYS:JCI),2.230000%,9.360000%,2.690000%,-19.900000%,29.640000%,-19.900000%,127.530000%,34.720000%
JKHY,"JACK HENRY & ASSOCIATES, INC. (XNAS:JKHY)",0.270000%,6.150000%,-0.060000%,-12.760000%,14.540000%,-12.760000%,-33.610000%,30.350000%
JNJ,JOHNSON & JOHNSON (XNYS:JNJ),0.420000%,5.120000%,-0.260000%,-9.280000%,12.580000%,-9.280000%,-53.670000%,13.970000%
JPM,JPMORGAN CHASE & CO. (XNYS:JPM),2.350000%,6.630000%,2.380000%,-12.640000%,25.050000%,-12.640000%,116.350000%,40.200000%
KDP,KEURIG DR PEPPER INC. (XNAS:KDP),0.240000%,6.450000%,-0.450000%,-22.050000%,13.860000%,-22.050000%,130.780000%,-39.890000%
KEY,KEYCORP (XNYS:KEY),1.710000%,10.960000%,-0.470000%,-31.660000%,34.440000%,-31.660000%,110.090000%,26.810000%
KEYS,"KEYSIGHT TECHNOLOGIES, INC. (XNYS:KEYS)",1.280000%,8.950000%,1.620000%,-19.520000%,22.850000%,-19.520000%,-16.660000%,-12.150000%
KHC,THE KRAFT HEINZ COMPANY (XNAS:KHC),-0.410000%,6.740000%,-0.620000%,-16.720000%,14.000000%,-16.720000%,-32.480000%,1.370000%
KIM,KIMCO REALTY CORPORATION. (XNYS:KIM),0.880000%,6.930000%,-0.530000%,-15.240000%,17.760000%,-15.240000%,-5.300000%,51.860000%
KKR,KKR & CO. INC. (XNYS:KKR),3.030000%,11.100000%,4.000000%,-20.120000%,30.160000%,-20.120000%,-8.490000%,-3.470000%
KLAC,KLA Corporation (XNAS:KLAC),4.650000%,11.070000%,4.050000%,-15.740000%,33.580000%,-15.740000%,-48.510000%,29.190000%
KMB,KIMBERLY-CLARK CORPORATION (XNAS:KMB),-0.490000%,5.390000%,-1.200000%,-13.110000%,11.040000%,-13.110000%,-1.400000%,20.800000%
KMI,"KINDER MORGAN, INC. (XNYS:KMI)",1.800000%,6.200000%,1.180000%,-12.750000%,15.550000%,-12.750000%,16.480000%,2.850000%
KO,THE COCA-COLA COMPANY (XNYS:KO),0.730000%,4.870000%,0.500000%,-11.230000%,15.230000%,-11.230000%,80.370000%,21.530000%
KR,THE KROGER CO. (XNYS:KR),1.660000%,7.660000%,0.420000%,-15.390000%,35.590000%,-15.390000%,541.160000%,142.820000%
KVUE,KENVUE INC. (XNYS:KVUE),-0.810000%,6.200000%,0.000000%,0.000000%,19.560000%,-19.480000%,262.950000%,1.280000%
L,LOEWS CORPORATION (XNYS:L),1.730000%,4.470000%,1.780000%,-12.250000%,11.300000%,-12.250000%,85.390000%,-29.390000%
LDOS,"LEIDOS HOLDINGS, INC. (XNYS:LDOS)",1.850000%,7.720000%,1.320000%,-12.890000%,23.800000%,-12.890000%,84.650000%,59.170000%
LEN,LENNAR CORPORATION (XNYS:LEN),0.600000%,10.580000%,0.430000%,-22.260000%,26.150000%,-22.260000%,-30.910000%,34.800000%
LH,LABCORP HOLDINGS INC. (XNYS:LH),0.680000%,6.480000%,-0.320000%,3.800000%,11.930000%,-13.900000%,-80.010000%,-6.070000%
LHX,"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)",1.400000%,6.370000%,0.970000%,-13.540000%,22.050000%,-13.540000%,167.300000%,52.020000%
LII,LENNOX INTERNATIONAL INC. (XNYS:LII),2.150000%,8.670000%,2.970000%,-18.870000%,19.490000%,-18.870000%,-32.130000%,-14.490000%
LIN,LINDE PUBLIC LIMITED COMPANY (XNAS:LIN),1.210000%,6.480000%,0.340000%,-13.990000%,15.010000%,-13.990000%,-10.130000%,12.530000%
LLY,ELI LILLY AND COMPANY (XNYS:LLY),2.970000%,9.930000%,2.890000%,-18.520000%,24.570000%,-18.520000%,-47.260000%,12.640000%
LMT,LOCKHEED MARTIN CORPORATION (XNYS:LMT),1.060000%,6.860000%,0.480000%,-11.370000%,24.690000%,-11.370000%,199.230000%,100.280000%
LNT,ALLIANT ENERGY CORPORATION (XNAS:LNT),0.640000%,4.820000%,1.150000%,-14.900000%,11.610000%,-14.900000%,78.930000%,-42.610000%
LOW,"LOWE'S COMPANIES, INC. (XNYS:LOW)",0.910000%,7.780000%,0.200000%,-12.770000%,25.180000%,-12.770000%,12.640000%,43.970000%
LRCX,LAM RESEARCH CORPORATION (XNAS:LRCX),4.470000%,13.040000%,3.050000%,-19.480000%,37.300000%,-19.480000%,-33.790000%,25.360000%
LULU,LULULEMON ATHLETICA INC. (XNAS:LULU),0.210000%,12.390000%,0.990000%,-29.230000%,23.770000%,-29.230000%,-67.080000%,2.500000%
LUV,SOUTHWEST AIRLINES CO. (XNYS:LUV),0.640000%,10.910000%,1.380000%,-22.030000%,25.720000%,-22.030000%,4.880000%,21.970000%
LVS,LAS VEGAS SANDS CORP. (XNYS:LVS),1.300000%,11.720000%,0.390000%,-24.130000%,31.790000%,-24.130000%,41.550000%,44.090000%
LW,"LAMB WESTON HOLDINGS, INC. (XNYS:LW)",-1.480000%,11.890000%,-0.590000%,-33.160000%,30.120000%,-33.160000%,64.680000%,-37.600000%
LYB,LyondellBasell Industries NV (XNYS:LYB),-0.760000%,7.970000%,-1.130000%,-23.440000%,18.210000%,-23.440000%,67.670000%,-19.630000%
LYV,"LIVE NATION ENTERTAINMENT, INC. (XNYS:LYV)",2.160000%,10.050000%,1.790000%,-19.970000%,25.390000%,-19.970000%,-33.910000%,-8.790000%
MA,MANILA MINING CORPORATION (XPHS:MA),0.630000%,21.020000%,-3.000000%,0.000000%,82.350000%,-30.670000%,539.260000%,209.900000%
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC. (XNYS:MAA)",0.370000%,6.180000%,0.630000%,-13.490000%,11.770000%,-13.490000%,-66.070000%,-24.400000%
MAR,"MARRIOTT INTERNATIONAL, INC. (XNAS:MAR)",2.090000%,7.640000%,0.940000%,-16.240000%,18.110000%,-16.240000%,-11.800000%,10.910000%
MAS,MASCO CORPORATION (XNYS:MAS),0.420000%,8.520000%,-0.710000%,-12.480000%,18.680000%,-12.480000%,-81.660000%,39.380000%
MCD,MCDONALD'S CORPORATION (XNYS:MCD),0.650000%,5.540000%,0.150000%,-10.200000%,19.020000%,-10.200000%,113.130000%,62.290000%
MCHP,MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP),1.530000%,12.140000%,-0.850000%,-27.920000%,45.720000%,-27.920000%,205.280000%,88.260000%
MCK,MCKESSON CORPORATION (XNYS:MCK),3.190000%,6.210000%,2.450000%,-8.840000%,22.390000%,-8.840000%,49.350000%,58.860000%
MCO,MOODY'S CORPORATION (XNYS:MCO),1.410000%,7.400000%,2.170000%,-17.000000%,17.050000%,-17.000000%,-43.110000%,-16.530000%
MDLZ,"Mondelez International, Inc. (XNAS:MDLZ)",0.340000%,6.130000%,0.000000%,-12.590000%,15.300000%,-12.590000%,-30.960000%,34.630000%
MDT,MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),-0.410000%,5.750000%,0.020000%,-13.500000%,14.590000%,-13.500000%,4.770000%,15.420000%
MET,"METLIFE, INC. (XNYS:MET)",1.580000%,7.270000%,0.800000%,-19.350000%,21.930000%,-19.350000%,86.940000%,29.990000%
META,"Meta Platforms, Inc. (XNAS:META)",2.460000%,14.460000%,2.480000%,-33.690000%,55.000000%,-33.690000%,270.240000%,24.470000%
MGM,MGM RESORTS INTERNATIONAL (XNYS:MGM),0.880000%,10.400000%,-0.380000%,-5.630000%,24.400000%,-21.080000%,-74.650000%,21.250000%
MKC,"MCCORMICK & COMPANY, INCORPORATED (XNYS:MKC)",-0.120000%,7.530000%,-1.450000%,-17.730000%,20.560000%,-17.730000%,10.260000%,18.750000%
MLM,"MARTIN MARIETTA MATERIALS, INC. (XNYS:MLM)",2.000000%,7.390000%,1.930000%,-15.540000%,20.230000%,-15.540000%,-8.610000%,10.230000%
MMC,"MARSH & MCLENNAN COMPANIES, INC. (XNYS:MMC)",0.760000%,5.200000%,1.410000%,-11.830000%,12.250000%,-11.830000%,-12.380000%,-32.510000%
MMM,3M COMPANY (XNYS:MMM),0.880000%,8.580000%,-0.570000%,-15.070000%,25.620000%,-15.070000%,57.230000%,64.340000%
MNST,MONSTER BEVERAGE CORPORATION (XNAS:MNST),1.270000%,6.750000%,0.020000%,-12.230000%,16.360000%,-12.230000%,-67.330000%,7.170000%
MO,"Altria Group, Inc. (XNYS:MO)",1.250000%,6.610000%,-0.210000%,-15.160000%,14.550000%,-15.160000%,8.050000%,8.980000%
MOH,"MOLINA HEALTHCARE, INC. (XNYS:MOH)",-0.180000%,10.790000%,0.450000%,-38.630000%,19.930000%,-38.630000%,227.410000%,-97.010000%
MOS,THE MOSAIC COMPANY (XNYS:MOS),1.260000%,12.480000%,-0.880000%,-21.760000%,50.440000%,-21.760000%,300.700000%,129.920000%
MPC,MARATHON PETROLEUM CORPORATION (XNYS:MPC),3.100000%,9.950000%,3.050000%,-23.140000%,24.580000%,-23.140000%,-11.280000%,-3.230000%
MPWR,"MONOLITHIC POWER SYSTEMS, INC. (XNAS:MPWR)",3.220000%,14.410000%,1.740000%,-36.610000%,45.860000%,-36.610000%,88.510000%,24.930000%
MRK,"MERCK & CO., INC. (XNYS:MRK)",0.640000%,6.650000%,1.420000%,-17.520000%,15.190000%,-17.520000%,-6.910000%,-11.160000%
MRNA,"MODERNA, INC. (XNAS:MRNA)",1.030000%,23.910000%,-1.500000%,-35.820000%,76.580000%,-35.820000%,135.550000%,101.690000%
MS,MORGAN STANLEY (XNYS:MS),2.300000%,7.710000%,1.460000%,-15.480000%,16.950000%,-15.480000%,-35.600000%,-21.880000%
MSCI,MSCI INC. (XNYS:MSCI),1.110000%,8.430000%,-0.580000%,-21.390000%,21.980000%,-21.390000%,35.540000%,27.070000%
MSFT,MICROSOFT CORPORATION (XNAS:MSFT),1.670000%,7.060000%,1.000000%,-13.130000%,22.400000%,-13.130000%,34.940000%,46.830000%
MSI,"MOTOROLA SOLUTIONS, INC. (XNYS:MSI)",2.000000%,6.820000%,3.060000%,-16.730000%,19.100000%,-16.730000%,74.890000%,-47.520000%
MTB,M&T BANK CORPORATION (XNYS:MTB),1.650000%,8.860000%,1.860000%,-23.420000%,20.870000%,-23.420000%,16.160000%,-8.110000%
MTCH,"MATCH GROUP, INC. (XNAS:MTCH)",-1.460000%,11.620000%,-1.170000%,-32.060000%,22.690000%,-32.060000%,-14.390000%,-18.390000%
MTD,METTLER-TOLEDO INTERNATIONAL INC. (XNYS:MTD),1.200000%,8.630000%,0.300000%,-18.310000%,24.480000%,-18.310000%,5.310000%,21.460000%
MU,"MICRON TECHNOLOGY, INC. (XNAS:MU)",4.320000%,15.520000%,2.720000%,-31.740000%,43.430000%,-31.740000%,15.500000%,51.030000%
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD. (XNYS:NCLH),2.450000%,17.730000%,1.860000%,-26.000000%,50.340000%,-26.000000%,14.670000%,62.590000%
NDAQ,"NASDAQ, INC. (XNAS:NDAQ)",1.530000%,6.800000%,1.710000%,-16.290000%,17.020000%,-16.290000%,10.820000%,-25.140000%
NDSN,NORDSON CORPORATION (XNAS:NDSN),0.640000%,6.820000%,1.260000%,-17.680000%,14.270000%,-17.680000%,-5.940000%,-42.160000%
NEE,"NEXTERA ENERGY, INC. (XNYS:NEE)",0.090000%,8.070000%,0.500000%,-18.580000%,19.140000%,-18.580000%,4.370000%,-9.950000%
NEM,NEWMONT CORPORATION (XNYS:NEM),1.470000%,11.350000%,0.460000%,-26.810000%,26.530000%,-26.810000%,-13.950000%,-11.060000%
NFLX,"NETFLIX, INC. (XNAS:NFLX)",2.170000%,12.900000%,3.310000%,-51.540000%,26.020000%,-51.540000%,433.460000%,-121.610000%
NI,NISOURCE INC. (XNYS:NI),1.290000%,5.090000%,1.670000%,-16.530000%,13.040000%,-16.530000%,152.930000%,-53.900000%
NKE,"NIKE, INC. (XNYS:NKE)",-1.090000%,10.090000%,-2.890000%,-25.330000%,22.020000%,-25.330000%,42.040000%,18.600000%
NOC,NORTHROP GRUMMAN CORPORATION (XNYS:NOC),1.820000%,7.280000%,1.000000%,-19.240000%,23.240000%,-19.240000%,116.740000%,15.350000%
NOW,"SERVICENOW, INC. (XNYS:NOW)",1.080000%,10.790000%,-0.010000%,-17.560000%,30.070000%,-17.560000%,12.850000%,42.630000%
NRG,"NRG ENERGY, INC. (XNYS:NRG)",3.550000%,11.860000%,2.970000%,-22.860000%,61.270000%,-22.860000%,870.450000%,188.900000%
NSC,NORFOLK SOUTHERN CORPORATION (XNYS:NSC),0.550000%,7.000000%,1.060000%,-17.130000%,16.570000%,-17.130000%,-45.770000%,-11.950000%
NTAP,"NETAPP, INC. (XNAS:NTAP)",1.560000%,8.630000%,0.180000%,-22.520000%,20.460000%,-22.520000%,56.890000%,16.740000%
NTRS,NORTHERN TRUST CORPORATION (XNAS:NTRS),1.940000%,7.410000%,1.800000%,-10.830000%,19.800000%,-10.830000%,-27.130000%,45.400000%
NUE,NUCOR CORPORATION (XNYS:NUE),2.730000%,13.580000%,0.570000%,-23.860000%,39.010000%,-23.860000%,34.810000%,73.090000%
NVDA,NVIDIA CORPORATION (XNAS:NVDA),6.370000%,16.940000%,3.760000%,-30.090000%,44.380000%,-30.090000%,-15.600000%,28.530000%
NVR,"NVR, Inc. (XNYS:NVR)",1.230000%,7.490000%,0.280000%,-13.480000%,19.590000%,-13.480000%,-35.750000%,24.570000%
NWS,NEWS CORPORATION (XNAS:NWS),1.870000%,8.570000%,1.180000%,-24.200000%,29.400000%,-24.200000%,198.440000%,8.140000%
NWSA,NEWS CORPORATION (XNAS:NWSA),1.660000%,8.520000%,1.220000%,-21.980000%,27.320000%,-21.980000%,146.690000%,22.580000%
NXPI,NXP Semiconductors NV (XNAS:NXPI),1.500000%,9.900000%,-0.060000%,-17.180000%,28.840000%,-17.180000%,1.490000%,57.370000%
O,REALTY INCOME CORPORATION (XNYS:O),-0.060000%,5.640000%,0.950000%,-16.750000%,9.260000%,-16.750000%,4.320000%,-46.960000%
ODFL,"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",1.200000%,11.170000%,0.660000%,-19.930000%,30.910000%,-19.930000%,32.150000%,44.600000%
OKE,"ONEOK, INC. (XNYS:OKE)",1.850000%,8.230000%,1.670000%,-20.980000%,20.450000%,-20.980000%,44.160000%,15.700000%
OMC,OMNICOM GROUP INC. (XNYS:OMC),1.020000%,6.710000%,1.750000%,-11.410000%,18.060000%,-11.410000%,-54.280000%,27.010000%
ON,ON SEMICONDUCTOR CORPORATION (XNAS:ON),2.550000%,13.200000%,1.380000%,-19.800000%,44.380000%,-19.800000%,50.260000%,56.250000%
ORCL,ORACLE CORPORATION (XNYS:ORCL),2.890000%,10.600000%,4.380000%,7.740000%,27.840000%,-23.930000%,13.770000%,1.810000%
ORLY,"O'Reilly Automotive, Inc. (XNAS:ORLY)",2.140000%,6.110000%,2.640000%,3.500000%,15.980000%,-10.590000%,-43.860000%,-16.950000%
OTIS,OTIS WORLDWIDE CORPORATION (XNYS:OTIS),0.780000%,6.040000%,0.820000%,-15.190000%,14.760000%,-15.190000%,-3.190000%,-6.200000%
OXY,OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY),2.580000%,13.050000%,1.450000%,-21.260000%,49.450000%,-21.260000%,323.770000%,144.100000%
PANW,"PALO ALTO NETWORKS, INC. (XNAS:PANW)",2.320000%,9.490000%,1.800000%,-19.200000%,25.630000%,-19.200000%,15.990000%,-1.950000%
PAYC,"PAYCOM SOFTWARE, INC. (XNYS:PAYC)",-0.890000%,12.330000%,-0.510000%,-31.110000%,38.840000%,-31.110000%,118.870000%,50.300000%
PAYX,"PAYCHEX, INC. (XNAS:PAYX)",0.590000%,5.920000%,0.940000%,-12.880000%,16.740000%,-12.880000%,29.500000%,-2.600000%
PCAR,PACCAR INC (XNAS:PCAR),1.670000%,7.400000%,1.040000%,-11.130000%,18.440000%,-11.130000%,-51.410000%,35.960000%
PCG,PG&E CORPORATION (XNYS:PCG),1.540000%,8.330000%,2.080000%,-22.380000%,22.480000%,-22.380000%,110.640000%,-2.600000%
PEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),1.000000%,5.130000%,1.530000%,-15.680000%,14.150000%,-15.680000%,90.540000%,-17.820000%
PEP,"PEPSICO, INC. (XNAS:PEP)",0.100000%,5.110000%,0.890000%,-9.450000%,11.190000%,-9.450000%,-63.680000%,3.990000%
PFE,PFIZER INC. (XNYS:PFE),-0.420000%,6.850000%,-0.420000%,-14.010000%,13.440000%,-14.010000%,-49.120000%,15.730000%
PFG,"PRINCIPAL FINANCIAL GROUP, INC. (XNAS:PFG)",1.350000%,7.390000%,2.040000%,-16.390000%,24.570000%,-16.390000%,68.740000%,25.850000%
PG,THE PROCTER & GAMBLE COMPANY (XNYS:PG),0.480000%,4.370000%,0.430000%,-11.270000%,11.380000%,-11.270000%,19.660000%,-0.710000%
PGR,THE PROGRESSIVE CORPORATION (XNYS:PGR),1.580000%,6.550000%,1.130000%,-11.010000%,14.660000%,-11.010000%,-102.850000%,-3.370000%
PH,PARKER-HANNIFIN CORPORATION (XNYS:PH),2.750000%,8.240000%,1.950000%,-12.270000%,23.350000%,-12.270000%,-37.550000%,51.070000%
PHM,"PULTEGROUP, INC. (XNYS:PHM)",2.300000%,10.340000%,1.160000%,-17.620000%,29.150000%,-17.620000%,-17.410000%,36.020000%
PKG,PACKAGING CORPORATION OF AMERICA (XNYS:PKG),1.040000%,7.070000%,2.010000%,2.840000%,18.630000%,-19.180000%,29.500000%,-10.320000%
PLD,"PROLOGIS, INC. (XNYS:PLD)",0.460000%,8.280000%,0.760000%,-20.840000%,16.760000%,-20.840000%,-5.330000%,-32.570000%
PLTR,PALANTIR TECHNOLOGIES INC. (XNAS:PLTR),5.530000%,21.370000%,4.450000%,-31.450000%,95.950000%,-31.450000%,415.200000%,121.460000%
PM,Philip Morris International Inc. (XNYS:PM),1.700000%,6.480000%,0.780000%,-14.020000%,21.310000%,-14.020000%,42.250000%,33.590000%
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC)",1.460000%,7.970000%,1.290000%,-19.810000%,18.280000%,-19.810000%,-20.120000%,-8.710000%
PNR,PENTAIR PUBLIC LIMITED COMPANY (XNYS:PNR),1.590000%,8.920000%,0.760000%,-18.100000%,31.990000%,-18.100000%,107.720000%,61.350000%
PNW,PINNACLE WEST CAPITAL CORPORATION (XNYS:PNW),0.270000%,5.880000%,0.710000%,-6.560000%,14.380000%,-15.030000%,28.150000%,-20.750000%
PODD,INSULET CORPORATION (XNAS:PODD),1.050000%,12.840000%,0.580000%,-31.490000%,36.440000%,-31.490000%,82.690000%,34.920000%
POOL,POOL CORPORATION (XNAS:POOL),-0.140000%,9.470000%,-1.290000%,-20.740000%,33.490000%,-20.740000%,154.570000%,77.210000%
PPG,"PPG INDUSTRIES, INC. (XNYS:PPG)",-0.080000%,7.540000%,-1.090000%,-19.940000%,20.270000%,-19.940000%,59.710000%,32.050000%
PPL,PPL CORPORATION (XNYS:PPL),0.600000%,5.320000%,0.720000%,-14.900000%,11.080000%,-14.900000%,41.700000%,-42.090000%
PRU,"PRUDENTIAL FINANCIAL, INC. (XNYS:PRU)",1.230000%,7.320000%,0.380000%,-16.460000%,22.480000%,-16.460000%,54.220000%,39.320000%
PSA,PUBLIC STORAGE. (XNYS:PSA),0.370000%,6.480000%,0.820000%,-15.040000%,14.660000%,-15.040000%,-2.070000%,-12.810000%
PSKY,PARAMOUNT SKYDANCE CORPORATION (XNAS:PSKY),0.370000%,17.990000%,-1.660000%,-43.590000%,75.680000%,-43.590000%,532.610000%,156.400000%
PSX,PHILLIPS 66 (XNYS:PSX),1.390000%,10.330000%,0.060000%,-22.860000%,28.200000%,-22.860000%,48.090000%,23.090000%
PTC,PTC INC. (XNAS:PTC),1.040000%,7.610000%,0.080000%,-14.450000%,18.780000%,-14.450000%,-24.710000%,45.600000%
PWR,"QUANTA SERVICES, INC. (XNYS:PWR)",3.850000%,9.510000%,3.950000%,-24.770000%,25.500000%,-24.770000%,48.110000%,-29.690000%
PYPL,"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",-1.450000%,12.850000%,-1.460000%,-38.900000%,33.500000%,-38.900000%,125.180000%,-22.760000%
Q,"QNITY ELECTRONICS, INC. (XNYS:Q)",0.170000%,2.040000%,0.000000%,0.000000%,15.160000%,-4.530000%,5153.930000%,666.830000%
QCOM,QUALCOMM INCORPORATED (XNAS:QCOM),0.840000%,10.410000%,0.250000%,-18.360000%,33.450000%,-18.360000%,101.480000%,81.010000%
RCL,ROYAL CARIBBEAN CRUISES LTD. (XNYS:RCL),4.310000%,15.390000%,3.900000%,-24.720000%,44.330000%,-24.720000%,-8.280000%,41.170000%
REG,REGENCY CENTERS CORPORATION (XNAS:REG),1.210000%,6.290000%,0.130000%,-14.320000%,20.440000%,-14.320000%,134.700000%,82.780000%
REGN,"REGENERON PHARMACEUTICALS, INC. (XNAS:REGN)",1.340000%,8.990000%,2.420000%,-25.510000%,22.820000%,-25.510000%,99.340000%,-53.890000%
RF,REGIONS FINANCIAL CORPORATION (XNYS:RF),2.040000%,9.550000%,1.530000%,-19.900000%,20.920000%,-19.900000%,-65.260000%,-1.560000%
RJF,"RAYMOND JAMES FINANCIAL, INC. (XNYS:RJF)",2.610000%,7.860000%,2.700000%,-13.460000%,21.880000%,-13.460000%,-27.640000%,10.610000%
RL,RALPH LAUREN CORPORATION (XNYS:RL),2.970000%,9.980000%,3.790000%,-20.730000%,32.730000%,-20.730000%,114.930000%,52.660000%
RMD,RESMED INC. (XNYS:RMD),1.040000%,9.050000%,0.790000%,-28.670000%,19.240000%,-28.670000%,79.390000%,-45.380000%
ROK,"ROCKWELL AUTOMATION, INC. (XNYS:ROK)",1.620000%,9.220000%,1.620000%,-24.600000%,31.530000%,-24.600000%,233.570000%,39.940000%
ROL,"ROLLINS, INC. (XNYS:ROL)",1.210000%,7.420000%,0.980000%,-12.520000%,21.420000%,-12.520000%,37.150000%,39.830000%
ROP,"ROPER TECHNOLOGIES, INC. (XNAS:ROP)",-0.010000%,5.310000%,-0.400000%,-12.250000%,11.840000%,-12.250000%,-21.310000%,0.550000%
ROST,"ROSS STORES, INC. (XNAS:ROST)",1.380000%,8.490000%,1.010000%,-17.610000%,24.800000%,-17.610000%,2.830000%,11.460000%
RSG,"REPUBLIC SERVICES, INC. (XNYS:RSG)",1.430000%,4.750000%,1.460000%,-9.320000%,10.510000%,-9.320000%,-44.620000%,-3.370000%
RTX,RTX CORPORATION (XNYS:RTX),2.670000%,6.260000%,2.850000%,-15.020000%,16.320000%,-15.020000%,40.030000%,-37.650000%
RVTY,"REVVITY, INC. (XNYS:RVTY)",-0.210000%,8.140000%,0.710000%,-17.950000%,19.750000%,-17.950000%,-8.300000%,9.950000%
SBAC,SBA Communications Corporation (XNAS:SBAC),0.010000%,7.330000%,-0.220000%,-17.340000%,22.520000%,-17.340000%,53.320000%,27.720000%
SBUX,STARBUCKS CORPORATION (XNAS:SBUX),0.130000%,7.850000%,0.540000%,-18.780000%,20.610000%,-18.780000%,69.900000%,4.520000%
SCHW,THE CHARLES SCHWAB CORPORATION (XNYS:SCHW),1.900000%,9.210000%,2.640000%,-35.010000%,24.060000%,-35.010000%,371.530000%,-84.070000%
SHW,THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),1.050000%,8.040000%,-0.190000%,-20.000000%,16.040000%,-20.000000%,-40.640000%,9.050000%
SJM,THE J. M. SMUCKER COMPANY (XNYS:SJM),0.030000%,6.340000%,0.480000%,-14.590000%,13.430000%,-14.590000%,-28.570000%,-29.440000%
SLB,SLB N.V. (XNYS:SLB),1.780000%,12.160000%,-0.300000%,-27.300000%,47.910000%,-27.300000%,258.790000%,97.050000%
SMCI,"SUPER MICRO COMPUTER, INC. (XNAS:SMCI)",8.330000%,26.240000%,2.400000%,-31.100000%,81.380000%,-31.100000%,58.400000%,97.720000%
SNA,SNAP-ON INCORPORATED (XNYS:SNA),2.130000%,6.600000%,0.940000%,-8.580000%,17.890000%,-8.580000%,-61.600000%,42.810000%
SNDK,SANDISK CORPORATION (XNAS:SNDK),6.990000%,27.110000%,0.000000%,0.000000%,129.480000%,-42.920000%,1174.240000%,330.760000%
SNPS,"SYNOPSYS, INC. (XNAS:SNPS)",2.140000%,11.570000%,3.480000%,-19.810000%,24.250000%,-19.810000%,-97.600000%,1.480000%
SO,THE SOUTHERN COMPANY (XNYS:SO),0.660000%,5.060000%,1.040000%,-13.040000%,13.180000%,-13.040000%,-14.900000%,-14.300000%
