Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
EFX,EQUIFAX INC. (XNYS:EFX),0.670000%,9.980000%,-0.450000%,-20.060000%,28.850000%,-20.060000%,-7.670000%,44.530000%
EG,"Everest Group, Ltd. (XNYS:EG)",0.890000%,6.350000%,0.860000%,-6.440000%,26.950000%,-13.260000%,378.240000%,102.300000%
EIX,EDISON INTERNATIONAL (XNYS:EIX),0.480000%,7.700000%,0.820000%,-23.430000%,16.370000%,-23.430000%,102.050000%,-57.230000%
EL,THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),-0.030000%,11.020000%,0.600000%,-22.340000%,29.570000%,-22.340000%,-17.140000%,33.460000%
ELV,"ELEVANCE HEALTH, INC. (XNYS:ELV)",-0.190000%,7.910000%,-0.360000%,-27.940000%,17.490000%,-27.940000%,219.460000%,-64.010000%
EME,"EMCOR GROUP, INC. (XNYS:EME)",4.230000%,10.020000%,1.410000%,-23.940000%,29.840000%,-23.940000%,41.690000%,40.790000%
EMR,EMERSON ELECTRIC CO. (XNYS:EMR),1.490000%,7.700000%,1.250000%,-8.290000%,21.670000%,-13.510000%,0.290000%,40.210000%
EOG,"EOG RESOURCES, INC. (XNYS:EOG)",2.010000%,11.300000%,-0.290000%,-26.720000%,33.150000%,-26.720000%,131.170000%,76.420000%
EPAM,"EPAM SYSTEMS, INC. (XNYS:EPAM)",1.070000%,17.650000%,-0.960000%,-55.990000%,55.500000%,-55.990000%,209.410000%,-7.590000%
EQIX,"EQUINIX, INC. (XNAS:EQIX)",0.480000%,7.570000%,1.410000%,-16.990000%,21.730000%,-16.990000%,40.350000%,-6.370000%
EQR,EQUITY RESIDENTIAL (XNYS:EQR),0.590000%,6.130000%,-0.320000%,1.760000%,15.830000%,-17.030000%,65.260000%,-6.370000%
EQT,EQT CORPORATION (XNYS:EQT),4.090000%,12.470000%,3.230000%,-28.690000%,45.330000%,-28.690000%,123.030000%,39.420000%
ERIE,ERIE INDEMNITY COMPANY (XNAS:ERIE),0.680000%,9.960000%,-0.960000%,-15.120000%,29.660000%,-15.120000%,97.000000%,93.030000%
ES,Eversource Energy (XNYS:ES),-0.200000%,6.610000%,0.160000%,-15.050000%,12.800000%,-15.050000%,-26.280000%,-9.670000%
ESS,"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",0.810000%,6.490000%,1.780000%,-11.850000%,15.160000%,-11.850000%,-51.760000%,-10.500000%
ETN,EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN),2.150000%,8.720000%,0.850000%,-19.410000%,19.660000%,-19.410000%,-47.490000%,22.850000%
