Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
GEV,GE VERNOVA INC. (XNYS:GEV),2.789500%,8.175600%,0.000000%,0.000000%,27.550000%,-18.129000%,270.946500%,133.480900%
GILD,"GILEAD SCIENCES, INC. (XNAS:GILD)",1.153200%,7.191200%,-0.227000%,-6.402000%,27.184000%,-13.439000%,201.974200%,89.138300%
GIS,"GENERAL MILLS, INC. (XNYS:GIS)",-0.456500%,4.613900%,-0.875000%,-9.473000%,9.082000%,-9.473000%,-51.317900%,19.660500%
GL,GLOBE LIFE INC. (XNYS:GL),1.094200%,7.162800%,0.695000%,-34.545000%,15.868000%,-34.545000%,935.286900%,-182.168600%
GLW,CORNING INCORPORATED (XNYS:GLW),1.759500%,8.403000%,1.609000%,-15.443000%,22.378000%,-15.443000%,0.980100%,33.309700%
GM,GENERAL MOTORS COMPANY (XNYS:GM),1.531100%,10.247100%,1.313000%,-9.924000%,22.312000%,-17.890000%,-65.614700%,-6.543200%
GNRC,GENERAC HOLDINGS INC. (XNYS:GNRC),1.124500%,16.743300%,0.370000%,-34.933000%,39.253000%,-34.933000%,-16.292000%,43.602600%
GOOG,ALPHABET INC. (XNAS:GOOG),2.175000%,8.515600%,3.185000%,-24.013000%,16.508000%,-24.013000%,62.171500%,-74.015600%
GOOGL,ALPHABET INC. (XNAS:GOOGL),2.185800%,8.535800%,2.782000%,-24.204000%,15.668000%,-24.204000%,63.296900%,-77.250000%
GPC,GENUINE PARTS COMPANY (XNYS:GPC),0.973400%,7.647400%,0.342000%,-17.884000%,23.125000%,-17.884000%,54.062500%,42.790700%
GPN,GLOBAL PAYMENTS INC. (XNYS:GPN),-1.379600%,9.537000%,-0.917000%,-22.069000%,14.912000%,-22.069000%,-83.860900%,-2.541600%
GRMN,Garmin Ltd (XNYS:GRMN),1.431800%,8.042500%,1.534000%,-13.936000%,24.588000%,-13.936000%,15.174800%,35.823000%
GS,"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)",2.583900%,8.488200%,2.159000%,-14.696000%,20.589000%,-14.696000%,-70.309700%,10.165500%
GWW,"W.W. GRAINGER, INC. (XNYS:GWW)",2.069500%,8.056600%,1.502000%,-12.552000%,21.505000%,-12.552000%,-16.712200%,43.991800%
HAL,HALLIBURTON COMPANY (XNYS:HAL),1.948900%,13.174200%,1.345000%,-23.241000%,47.929000%,-23.241000%,172.827500%,76.363000%
HAS,"Hasbro, Inc. (XNAS:HAS)",0.391900%,8.048900%,0.606000%,-31.736000%,15.465000%,-31.736000%,294.461300%,-107.817700%
HBAN,HUNTINGTON BANCSHARES INCORPORATED (XNAS:HBAN),1.227100%,8.689600%,0.989000%,-26.170000%,18.866000%,-26.170000%,50.101300%,-27.123400%
HCA,"HCA HEALTHCARE, INC. (XNYS:HCA)",2.204100%,9.537900%,2.740000%,-20.124000%,26.395000%,-20.124000%,-42.391100%,5.732400%
HD,"THE HOME DEPOT, INC. (XNYS:HD)",0.282300%,7.299800%,0.194000%,-18.434000%,13.246000%,-18.434000%,-45.335500%,-26.966600%
HIG,"THE HARTFORD INSURANCE GROUP, INC. (XNYS:HIG)",2.285200%,7.723600%,1.301000%,-0.083000%,39.088000%,-11.281000%,772.586500%,184.903100%
HII,"HUNTINGTON INGALLS INDUSTRIES, INC. (XNYS:HII)",1.946100%,9.004600%,0.909000%,-30.040000%,30.840000%,-30.040000%,263.472600%,-13.102200%
HLT,HILTON WORLDWIDE HOLDINGS INC. (XNYS:HLT),2.403600%,7.949800%,2.315000%,-20.886000%,21.984000%,-20.886000%,48.281100%,-9.435500%
HOLX,"HOLOGIC, INC. (XNAS:HOLX)",-0.167700%,6.256400%,0.069000%,-14.375000%,12.470000%,-14.375000%,-45.717600%,-4.397600%
