Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
EQR,0.006925082,0.063414281,-0.00045,-0.0944,0.23287,-0.0944,1.538146386,0.812496528
EQT,0.032607049,0.131235864,0.02494,-0.27913,0.61929,-0.27913,6.013684351,1.38320159
ERIE,0.009846393,0.088688768,-0.01018,-0.16854,0.25577,-0.16854,0.251303553,0.669384438
ES,-0.004372131,0.068087934,-0.00896,-0.13078,0.1446,-0.13078,-0.6477736,0.011014626
ESS,0.00799918,0.068155466,0.00805,-0.13794,0.20182,-0.13794,0.136062829,0.318476786
ETN,0.026398852,0.088637022,0.02098,-0.16729,0.27064,-0.16729,-0.114509551,0.167950035
ETR,0.010038033,0.06016191,0.00898,-0.12723,0.17605,-0.12723,-0.08721179,0.085137909
EVRG,0.005537541,0.050806829,0.00396,-0.13323,0.10795,-0.13323,-0.211227076,-0.250977316
EW,0.009679508,0.092635732,0.02622,-0.31742,0.21779,-0.31742,1.634797524,-0.55788315
EXC,0.010039836,0.056215057,0.01313,0.02749,0.15264,-0.14689,0.643057171,0.099295113
EXE,0.021346393,0.087086136,0.00789,0,0.27622,-0.16718,0.095118081,0.400069025
EXPD,0.008658525,0.077353895,0.01348,-0.14752,0.20297,-0.14752,0.042666421,0.280112331
EXPE,0.03063541,0.138422093,0.01157,-0.26676,0.42911,-0.26676,1.019100332,0.637296382
EXR,0.006712787,0.088471758,0.00753,-0.14797,0.25659,-0.14797,0.242174906,0.593887051
F,0.013828689,0.123368813,0.01614,-0.26509,0.31986,-0.26509,-0.094719794,0.208643448
FANG,0.042830656,0.129870827,0.01494,-0.20307,0.53929,-0.20307,2.624315583,1.14655754
FAST,0.013196393,0.069564523,0.01998,-0.16089,0.14388,-0.16089,-0.298003906,-0.445979735
FCX,0.02784459,0.131793775,-0.01697,-0.25128,0.3489,-0.25128,-0.369555598,0.461848176
FDS,-0.001190164,0.066198767,0.00195,-0.23259,0.1244,-0.23259,1.345132087,-0.687215145
FDX,0.006152787,0.097251042,0.00062,-0.29572,0.20693,-0.29572,0.474662027,-0.169599779
FE,0.009198852,0.056533222,0.0049,-0.10638,0.15248,-0.10638,-0.141488978,0.200410179
FFIV,0.01135541,0.084718272,0.00663,-0.21702,0.22469,-0.21702,0.743508977,-0.224935639
FICO,0.031688852,0.108287108,0.03595,-0.21403,0.29421,-0.21403,0.170154293,0.032064372
FIS,-0.010624754,0.103072451,-0.01056,-0.27599,0.19405,-0.27599,-0.360037112,-0.077025974
FISV,0.003241311,0.106486306,0.00907,-0.48274,0.20645,-0.48274,6.051817377,-1.466236413
FITB,0.018296885,0.095742679,0.01877,-0.26591,0.2945,-0.26591,1.150608266,0.096555581
FOX,0.017660328,0.065515177,0.01735,-0.12275,0.16862,-0.12275,-0.462437517,0.064360964
FOXA,0.019856066,0.066371243,0.02002,-0.12032,0.15811,-0.12032,-0.643754771,-0.070824161
FRT,0.008335082,0.077006152,0.00061,-0.16726,0.2681,-0.16726,1.23198549,0.652779498
FSLR,0.021277213,0.157267876,0.01553,-0.24528,0.54146,-0.24528,1.261518045,0.870646876
FTNT,0.037083279,0.115864092,0.03871,-0.2253,0.32167,-0.2253,0.0821765,-0.006094353
FTV,0.003873115,0.071754225,0.00255,-0.13623,0.18518,-0.13623,-0.354182834,0.124957028
GD,0.020736557,0.060055188,0.01369,-0.07321,0.2378,-0.07321,2.243017283,1.169285859
